alg,seed,fitness,theta,gens,time_sec,pop_size
GWO,0,0.008547037880298536,"[0.0024108230034445527, 0.0025043865702826973, 0.0020008418725424664, 0.001699575757688406, -0.001744798203658442, -0.001979464132902153]",50,0.03,10
GWO,1,0.00891430575718788,"[0.002376025233373, -0.0002039422532500243, 0.0019008933292933555, -0.0026693974942650026, -0.0019887817551605363, 0.0027876109427444995]",50,0.03,10
GWO,2,0.014241487482572257,"[0.002610658842688876, 0.0034988001021458697, 0.0038289536372760227, -0.00333211249753719, -0.003170765686870107, -0.0038377092799219514]",50,0.03,10
GWO,3,0.007826331019626043,"[-0.000962567976219771, -0.0009122792163096233, -0.001838989048321169, -0.0026457959352023217, -0.0020956657682275567, -0.002304902943834042]",50,0.03,10
GWO,4,0.008060228932834423,"[-0.002217996801131529, 0.0021673077047296378, -0.0017949530769019956, 0.0017108220154621733, -0.0017142274565238227, 0.002105480929880691]",50,0.03,10
GWO,0,7.580765773029796e-05,"[-1.4360483310949584e-05, -1.6947435794411068e-05, 1.975792747377326e-05, -2.0130905167153476e-05, 2.2270609131881144e-05, 1.9207169288991155e-05]",50,0.07,30
GWO,1,2.4869468028487773e-05,"[-7.1573487074036026e-06, -7.394942652192517e-06, -6.1734995293935406e-06, -7.504725143530609e-06, 5.609908155384658e-06, 2.8043100016234414e-07]",50,0.08,30
GWO,2,7.844850513949453e-05,"[-1.8186223202162043e-05, 1.766087509793817e-05, 2.0314425644186044e-05, 1.6638534995973465e-05, -2.287201546707498e-05, -2.1244234271159985e-05]",50,0.08,30
GWO,3,9.652939484228185e-05,"[2.23409837742442e-05, 2.5766475143137116e-05, -2.099524541952521e-05, -2.4832721288376722e-05, -2.516672069412415e-05, 2.5261015793745846e-05]",50,0.08,30
GWO,4,7.625547776202168e-05,"[1.8679330403548744e-05, 1.792469534224285e-05, -8.737632703349602e-06, -2.06404112660616e-05, -2.1924937206875277e-05, 2.293889047545969e-05]",50,0.08,30
GWO,0,4.051263065907307e-06,"[1.0057309303763735e-06, -1.1968239863738942e-06, -7.752612076862389e-07, -9.072815047952578e-07, -1.0020184054411789e-06, -1.1324732938284041e-06]",50,0.13,50
GWO,1,1.268362418205271e-06,"[-3.7648415647765245e-07, -3.062311485053251e-07, -2.505415636560194e-07, -3.375055817351107e-07, -2.8287168841804874e-07, -3.3325409837044153e-07]",50,0.13,50
GWO,2,1.1989382753263556e-06,"[3.2248641482459503e-07, 3.0541756341227284e-07, 2.526492787122608e-07, 2.6682755112231206e-07, 3.1149863063410746e-07, -3.312147255387251e-07]",50,0.13,50
GWO,3,5.840321048999897e-07,"[1.416016100851306e-07, -1.512959173975655e-07, 1.8328465738802644e-07, 1.6652654674146023e-07, -1.439378422560571e-07, 5.408913420244284e-08]",50,0.13,50
GWO,4,1.283288466602528e-07,"[-3.450012528714203e-08, 2.9493568954139387e-08, 3.446652246506257e-08, 3.040320458637628e-08, -3.8374338228878856e-08, -2.3034528516268093e-08]",50,0.14,50
